Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chad,TCD,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,0.01,,,,,,,0.1,0.289662997,0.413470421,0.509172678,0.581940967,0.638889359,0.686639869,0.3,0.782833688,0.845211503,0.926159778,1.031419271,1.159148294,3.1,1.45418173,1.613427431,1.774769767,1.934457284,0.7,2.23271716
Chad,TCD,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,0.01,0.030787271,0.108397804,0.297480613,0.575130105,1.003540397,1.419714212,2.3,2.203116179,2.564226151,2.902383566,3.222131252,3.529532194,3.830649137,3.5,4.438284397,4.756928444,5.093541145,5.452673912,5.832834721,6.4,6.64422226,7.069441795,7.503673077,7.943912029,7.7,8.830898285
Chad,TCD,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,0.01,0.555086613,1.792626619,3.029135942,4.26358366,5.494939804,6.722173214,9.4,9.160149574,10.36883163,11.5699091,12.76555824,13.95859337,15.15183258,16.4,17.55018425,18.76092911,19.98314285,21.21887398,22.46710205,18.3,24.99391365,26.26892471,27.54929161,28.83323097,32.4,31.40497589
Channel Islands,CHI,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,CHI,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,CHI,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,CHL,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,62.892651,69.49582387,70.328551,72.38936749,73.74222416,75.11589569,74.767206,77.86983102,82.314483,80.51574669,86.572004,82.94025372,84.11023785,92.810743,86.51376933,87.87060123,96.410445,90.83089406,92.51159042,97.80333,96.24377725,97.781241,99.27041828,98,100,98.633515,100
Chile,CHL,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,92.257427,94.25153351,94.560057,94.94730377,95.28754425,95.6186142,95.617315,96.2409668,97.241124,96.78990936,97.938687,97.25312042,97.46317291,98.782325,97.87049103,98.08879089,99.368108,98.55635071,98.81767273,99.593662,99.38864136,99.588193,99.85822296,99.6,99.99533844,99.714844,100
Chile,CHL,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.846714,99.17964172,99.107534,99.27734375,99.32350159,99.36655426,99.441775,99.43928528,99.667146,99.48816681,99.782113,99.51316833,99.5207901,99.707507,99.53947449,99.55614471,99.814949,99.61721039,99.66499329,99.869036,99.79384613,99.856911,99.93097687,99.8,99.99378967,99.876858,100
China,CHN,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,89.68407845,90.151001,90.62502321,91.10377139,91.58340717,92.06063838,92.53156101,92.99295376,93.44023147,93.86917876,94.14239353,94.65396135,95.01747432,95.38418397,95.7631229,96.16436411,96.62545706,97.12061998,97.68085751,98.30867432,98,99.49162581,99.82619741,99.96394805,99.99668651,100,100
China,CHN,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,92.21601105,92.65581512,93.09511566,93.53135681,93.96147156,94.38241577,94.79112244,95.18453217,95.5595932,95.9132309,96.243927,96.55620575,96.85614014,97.1497879,97.44321442,97.74249268,98.06681061,98.39870453,98.74991608,99.11564636,99.7,99.74872589,99.91638184,99.98311615,99.99848938,100,100
China,CHN,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,99.2594986,99.32211304,99.38421631,99.44512939,99.50395203,99.55967712,99.61127472,99.6577301,99.69812775,99.73194122,100,99.78227234,99.80255127,99.82305145,99.84656525,99.87568665,99.91111755,99.94830322,99.97798157,99.99407959,100,100,100,100,100,100,100
Colombia,COL,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,71,73.65000312,74.34563653,75.05976627,75.88041274,73.6,77.59184029,78.41889011,79.21575099,79.97058249,83.8,81.34487147,81.9901913,82.62664017,83.26816994,89.2,84.63079096,85.38519809,87.470664,84.540784,86.84958,86.35929,87.858058,90.52792,90.499782,92.455997,95.72580944
Colombia,COL,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,89.9,90.76000977,91.15319824,91.54332733,91.92734528,91.2,92.66477203,93.01207733,93.34102631,93.64855957,95.2,94.19931793,94.45314026,94.70068359,94.94800568,96.8,95.46623993,95.74927521,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,99.00445557
Colombia,COL,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,97.9,98.52064514,98.59512329,98.66841888,98.73961639,99.2,98.87167358,98.93049622,98.98326874,99.02944946,99.4,99.10453796,99.13718414,99.17005157,99.20594025,99.3,99.29786682,99.35879517,99.713281,99.607048,99.771476,99.788503,99.726102,99.820229,99.838367,99.809718,100
Comoros,COM,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,3.008954433,5.460459167,8.176605047,10.95664006,13.72710522,16.48526568,19.6,21.94646137,24.64292309,27.31078183,29.94842927,32.56148423,32.5,37.74364188,40.32692754,42.90922059,45.49909842,48.10355761,50.72904122,53.37431371,56.03606026,58.71200395,61.4,64.09260936,66.79169892,69.49245521,72.19287107
Comoros,COM,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,15.2995491,17.76657677,20.23309326,22.69655228,25.15389252,27.6020546,28.9,32.45861053,34.86088562,37.24174881,39.59965897,41.93915939,44.8,46.58718109,48.9078331,51.23432159,53.57271957,55.92908478,58.30796814,60.70788193,63.12582016,65.55877686,69.3,70.45773315,72.91772461,75.38071442,77.84421539
Comoros,COM,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,47.11031723,48.84362793,50.57677078,52.30888367,54.0389328,55.76589203,51.8,59.20640945,60.91790771,62.62219238,64.31887054,66.01012421,74.6,69.38760376,71.07946777,72.77716064,74.48350525,76.20132446,77.93265533,79.67649078,81.43103027,83.19450378,85.1,86.74108887,88.52062988,90.30195618,92.08358002
"Congo, Dem. Rep.",COD,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,1,,,,,,,1.1,,,,,1,,0.4,,
"Congo, Dem. Rep.",COD,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,0.01,0.582454681,1.183003187,1.911180377,2.633239269,3.346121073,4.046766281,4.732116222,5.399111271,6.044692516,6.7,7.271540165,7.86341238,8.449001312,9.034368515,6,10.22869492,15.2,11.49338341,12.15801525,12.84067059,13.53834534,15.4,14.9667387,13.5,16.41916466,17.14737892
"Congo, Dem. Rep.",COD,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,6.917630196,8.472360611,10.02691936,11.5804472,13.13191319,14.68028831,16.22454071,17.76363945,19.29655457,20.82225418,20,23.85301781,25.36307144,26.87332916,28.38660622,30,31.43348312,36.6,34.5254631,36.09070969,37.66667175,39.25156021,40.8,42.44097519,42,45.64467239,47.247715
"Congo, Rep.",COG,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,1.050860209,2.6530447,14.8,5.844841578,7.455340074,9.091467521,9.4,12.42722708,14.11891325,11.7,17.52609442,19.23297764,22.7,22.62535798
"Congo, Rep.",COG,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,0.01,0.834693372,1.627603769,3.979705572,6.325689316,8.662495613,10.98706532,13.29633999,15.58725929,17.85676575,20.10331917,22.33146286,24.54726028,26.75677299,28.96606445,33.8,33.40824127,35.65324783,37.92077637,37.1,42.51591492,44.83751297,41.6,49.5137558,51.86239243,60.4,56.56616974
"Congo, Rep.",COG,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,13.88969517,16.21323013,18.53659439,20.85892677,23.17919731,25.49637794,27.80943298,30.11733818,32.41905594,34.71356201,37.00046158,39.28193665,41.56079483,43.83985519,46.1219368,50.8,50.70642471,53.01446152,55.33601379,53.6,60.01483154,62.36852264,58.9,67.09555054,69.46530914,79.5,74.20870209
Cook Islands,COK,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,93.86991468,94.31227951,94.75697336,94.9575106,95.40865905,95.82411334,96.20265884,96.54644928,96.85643407,97.13075364,97.30071357,97.51611412,97.69909954,97.82312968,97.99317275,98.14528034,98.87892377,98.56235562,98.84868654,99.16209566,99.50797824,99.34318555,100,100,100,100,100
Cook Islands,COK,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,95.30909729,95.57455444,95.83950043,96.10138702,96.35715485,96.60374451,96.83809662,97.05715942,97.25785828,97.43714905,97.5934906,97.73141479,97.85699463,97.97629547,98.09975433,98.22920227,98.60750531,98.52780914,98.70466614,98.90106201,99.1151886,99.26806953,99.57159424,99.77217102,99.91053772,99.97758484,100
Cook Islands,COK,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,96.40474701,96.55029297,96.69567108,96.84001923,96.9822998,97.12149048,97.25656128,97.38647461,97.51020813,97.62672424,97.73563385,97.83911896,97.93999481,98.04333496,98.14953613,98.26156616,98.48223525,98.51335144,98.65648651,98.81137085,98.9768219,99.23906151,99.33268738,99.51805878,99.69805145,99.85910034,100
Costa Rica,CRI,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,94.94941484,95.18023748,95.41881554,95.66050013,95.88377451,96.10603898,96.31012744,96.48904342,96.63759744,96.75539958,96.84453004,95.769373,96.46564,96.89876,97.58591,97.801975,97.964446,98.166312,98.282766,98.641978,97.734454,97.986184,98.690151,98.921142,98.414246,98.641978,100
Costa Rica,CRI,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,97.47466278,97.63420105,97.79322815,97.94919586,98.09217072,98.23054504,98.35668945,98.46755981,98.56036377,98.63323975,98.686409,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,100
Costa Rica,CRI,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,99.99971008,99.9998703,99.99996948,100,100,100,99.99995422,99.99922943,99.99543762,99.98448181,99.96376801,99.874108,99.863464,99.882549,99.847066,99.894615,99.930421,99.917154,99.924095,99.929925,99.746437,99.964484,99.98337,99.939949,99.704804,99.929925,100
Cote d'Ivoire,CIV,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,14.25520397,15.23913981,16.22398159,17.20604588,13.7,19.14385648,20.08936553,21.01463085,21.91380264,22.5,23.16616873,23.68551933,25.85393473,24.64555986,25.10425716,37,36.11954238,26.38826141,26.76698827,27.1656405,27.5890397,28.0337591,29,28.98339562,27.18222094,29.99011916,38.1
Cote d'Ivoire,CIV,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,37.66371155,38.7843895,39.90456009,41.0216713,36.5,43.23448181,44.32405853,45.39834213,46.45426941,48.2,48.50034714,49.49349976,51.4,51.44882965,52.42313004,58.9,60.17105263,55.4053421,56.43788147,57.49144363,58.56303406,59.64964294,55.8,61.85590363,61.9,64.0861969,64.3
Cote d'Ivoire,CIV,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,73.75070953,74.5231781,75.29547119,76.06674194,69.7,77.60205841,78.36405182,79.12088776,79.87154388,85.9,81.35081482,82.08122253,82.809021,83.53701782,84.26802826,86.4,91.22701236,86.50735474,87.27784729,88.06082916,88.85453033,89.6571579,88.1,91.28205109,92.10074615,92.92123413,92
Croatia,HRV,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Croatia,HRV,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Croatia,HRV,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,CUB,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,75.97107798,77.10567093,78.38996557,79.67979805,80.96523785,82.2372442,83.48733699,84.68026845,85.80979631,86.8983453,87.9,89.04953828,90.21753162,91.48779709,92.84857368,94.25273202,95.70818,97.171389,98.47528573,99.39276589,99.84573647,99.98160646,100,100,100,100,100
Cuba,CUB,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,92.52192688,92.99980164,93.47717285,93.95147705,94.4196701,94.87867737,95.32545471,95.75693512,96.1700592,96.56177521,97,97.28088379,97.61888885,97.9506073,98.28649139,98.62835693,98.97970581,99.33018494,99.6403656,99.85733032,99.96389771,99.99571228,100,100,100,100,100
Cuba,CUB,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.53098297,98.67868042,98.82585907,98.97184753,99.11575317,99.25655365,99.39322662,99.52476501,99.65023804,99.76764679,100,99.94404602,99.98378754,99.99742889,99.9998703,100,100,100,100,100,100,100,100,100,100,100,100
Curacao,CUW,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Curacao,CUW,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Curacao,CUW,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,CYP,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,CYP,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,CYP,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,CZE,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,CZE,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,CZE,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,DNK,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,DNK,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,DNK,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,DJI,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,87.78118642,84.96645569,81.96550417,78.93946899,75.88113405,72.7784487,11.1,66.40477231,63.1131974,59.73874416,56.27558066,52.73547305,10.2,45.48990188,41.81737999,38.13466498,9.9,30.80162591,27.18182837,23.59619108,20.02329576,16.45629386,4.372199059,9.290253599,5.669879667,2.013218398,
Djibouti,DJI,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,59.60907745,59.36952591,59.1294632,58.88634491,58.63710403,58.37868881,62,57.82208633,57.51778412,57.19207001,56.84339905,56.47632217,49.7,55.71118546,55.32525635,54.94516754,55.5,54.22677231,53.89907837,53.59241486,53.30377197,53.03014755,54.6,52.51594543,52.26935959,52.02577591,51.78269196
Djibouti,DJI,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,50.69166946,51.33671188,51.98158264,52.62542343,53.26720047,53.90589142,54.54045486,55.16986465,55.79309464,56.40910721,57.01751709,57.62049484,56.9,58.82143402,59.42502213,60.03444672,62.4,61.28207016,61.92512894,62.58068848,63.2469635,63.92216492,64.24208069,65.29220581,65.98347473,66.67652893,67.36988068
Dominica,DMA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,66.03043365,67.54698181,69.06302643,70.57600403,72.08286285,73.58055115,75.06600189,76.5361557,75,79.41833496,80.82576752,82.21479034,87.7,84.96186066,86.33203125,87.70803833,89.09596252,90.50184631,90.9,93.37969208,94.84715271,96.32962799,97.82411957,98.8553009,99.58107758,99.90296936,100
Dominica,DMA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,66.03043365,67.54698181,69.06302643,70.57600403,72.08286285,73.58055115,75.06600189,76.5361557,75,79.41833496,80.82576752,82.21479034,87.7,84.96186066,86.33203125,87.70803833,89.09596252,90.50184631,90.9,93.37969208,94.84715271,96.32962799,97.82411957,98.8553009,99.58107758,99.90296936,100
Dominica,DMA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,66.03043365,67.54698181,69.06302643,70.57600403,72.08286285,73.58055115,75.06600189,76.5361557,75,79.41833496,80.82576752,82.21479034,87.7,84.96186066,86.33203125,87.70803833,89.09596252,90.50184631,90.9,93.37969208,94.84715271,96.32962799,97.82411957,98.8553009,99.58107758,99.90296936,100
Dominican Republic,DOM,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,60.90364811,48.4,64.08583157,65.69658427,67.02274918,68.28418126,69.56731828,70.86872104,72.18262485,76.6,73.788668,76.371045,76.724339,78.599228,80.451235,80.801154,81.994386,91.847523,93.312888,93.900472,94.675536,94.013044,94.211009,95.226213,95.641568,95.912364,100
Dominican Republic,DOM,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,79.59869385,78.2,81.42847443,82.34005737,83.24551392,84.14179993,85.02584076,85.89459229,86.74498749,91,88.764932,89.791362,89.749814,89.173808,90.316567,90.141224,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979,98.560364,100
Dominican Republic,DOM,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,94.75553894,96.5,95.18422699,95.39744568,95.60861206,95.81668091,96.02062988,96.21942902,96.41204071,98.9,96.572861,96.949494,96.674673,95.037767,95.524705,95.184958,94.389301,99.606906,99.572317,99.732814,99.767161,99.719573,99.651703,99.88359,99.859908,99.827251,100
Ecuador,ECU,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,77.15070278,77.8602733,78.63436651,79.42119884,80.2138593,74.884987,81.7961881,82.57436953,81.980263,82.360124,84.77674555,85.461392,86.19570248,85.869806,87.7333764,87.718723,89.435963,90.696294,92.140953,91.159456,92.659412,91.161191,92.33289,94.733695,97.054058,96.398108,99.82459848
Ecuador,ECU,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,88.94174957,89.42610168,89.90994263,90.39072418,90.86538696,89.830167,91.78411865,92.22207642,92.726642,93.071434,93.41509247,93.77191162,94.11639404,94.973044,94.79255676,95.83265,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067,98.825883,99.93681335
Ecuador,ECU,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.55394745,98.62142181,98.68839264,98.75416565,98.81784821,97.908304,98.93490601,98.98622131,99.626074,99.289697,99.1026001,99.13023376,99.15537262,99.291127,99.20910645,99.668752,99.525886,99.633543,99.586687,98.984382,99.715049,99.783081,99.628858,99.547373,99.83164,99.869408,100
"Egypt, Arab Rep.",EGY,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,90.24544528,90.85498782,87.9,92.06096772,92.64881609,91.9,93.77138903,94.28788013,94.77113095,95.22261779,95.9,96.02796273,96.39750308,97.8,98.90438843,99.1,98.71160353,98.28574521,99.3,99.16559961,99.48609161,99.86694523,99.84715271,100,99.8,100,100
"Egypt, Arab Rep.",EGY,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,93.95646667,94.31864929,93.4,95.03894043,95.39144135,95.5,96.0658493,96.38163757,96.67906952,96.95509338,97.7,97.44282532,97.66513062,98.8,98.10134888,99.4,99.04,98.81959534,99.8,99.3794632,99.64969635,99.8531723,99.7,99.9950943,99.8,100,100
"Egypt, Arab Rep.",EGY,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.78084564,98.84590149,98.4,98.9737854,99.03503418,99,99.14722443,99.19612122,99.23895264,99.27519226,99.5,99.33039856,99.35310364,99.7,99.80428314,99.8,99.47402191,99.52500916,99.9,99.6625061,99.67411041,99.83491516,99.53282166,99.96632385,99.9,99.99904633,100
El Salvador,SLV,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,51.50084377,43.530006,54.54598484,55.64169139,56.61876982,51.427518,53.220704,59.73865444,58.631869,56.227835,65.170985,70.068712,71.064874,71.224688,71.896139,72.174217,75.653518,79.511198,79.393669,80.329462,81.498281,83.820242,85.670994,89.999795,90.262428,90.6,98.75408363
El Salvador,SLV,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,72.46346283,69.60788,74.59783936,75.66170502,76.71945953,76.995504,77.883,79.82542419,81.637983,79.129592,84.519249,87.063829,87.54906,86.961151,87.357045,87.525839,89.201467,91.109558,91.000227,91.08402,91.580238,92.574686,93.680571,95.043105,95.125416,95.4,98.61889648
El Salvador,SLV,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,94.07923889,93.618226,94.430336,94.60477448,94.77714539,94.981486,95.233394,95.27159119,95.731315,93.057406,96.097903,97.114157,97.2748,96.49703,96.477373,96.455867,97.195509,97.084368,96.485463,96.567595,96.871589,97.229737,97.84601,97.761193,97.788212,98,98.55287933
Equatorial Guinea,GNQ,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,36.54338976,36.39850085,36.24539171,36.08778228,35.91528997,36.79435532,37.66172319,38.51016128,39.33228527,40.12356991,40.88118939,41.61274466,42.32567676,43.01603203,43.69443405,44.36782629,45.0460035,45.73766994,46.44906176,47.18047379,47.9272731,43,49.4568195,50.23331752,51.01377073,51.79440269,52.57348102
Equatorial Guinea,GNQ,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,58.59144211,59.01051712,59.42907715,59.8445816,60.25396729,60.6541748,61.04214859,61.41482162,61.76914597,62.10205078,62.41200638,62.70355225,62.98274994,63.25566483,63.52836227,63.80689621,64.09733582,64.40574646,64.73667908,65.08863831,65.45861816,66.1,66.24063873,66.64666748,67.05870819,67.47374725,67.88928986
Equatorial Guinea,GNQ,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,99.65254211,99.3026886,98.94973755,98.59387207,98.23477173,97.87541962,97.50782776,97.13404083,96.75304413,96.36444855,95.97042084,95.57377625,95.17733765,94.78392029,94.39633179,94.01740265,93.64994049,93.29598999,92.95454407,92.62380981,93.1,91.98733521,91.67802429,91.37228394,91.06832886,90.76467133
Eritrea,ERI,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,5.852079712,7.181948842,8.507366726,9.824343582,11.13258327,2.1,13.70354123,14.96211929,16.19702122,17.40610236,18.58881788,19.74851837,3,22.03185826,23.16888975,24.31261242,25.47125877,26.65122509,27.85920245,29.09339244,30.35268022,31.63364134,33.14843628,34.67321029,36.20463863,37.73939653,39.27470293
Eritrea,ERI,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,17.8409462,19.01162148,20.18178749,21.34889221,22.50988197,22.9,24.80126762,25.92554474,27.03146935,28.11598015,29.17753792,30.22068596,32.2,32.27600479,33.30030441,34.33044434,35.37248611,36.43249893,37.51503372,38.61859512,39.74018097,40.87678528,42.02540588,43.1830368,44.34667587,45.51332092,46.68046188
Eritrea,ERI,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,81.73100281,81.46099091,81.1907959,80.91957855,80.64629364,80.6,80.08942413,79.80377197,79.51194,79.21289063,78.90624237,78.59416199,78.3,77.96497345,77.65350342,77.34786224,77.05088043,76.7653656,76.49336243,76.23386383,75.9850769,75.74521637,75.51249695,75.28513336,75.06134033,74.83933258,74.61762238
Estonia,EST,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,EST,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,EST,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,ETH,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,0.4,,0.232356547,1.779477726,3.328514641,1.9,6.458382128,8.038465951,9.490819639,10.9688875,12.46716078,4.8,15.51644287,17.06340073,12.2,20.18473012,26.5
Ethiopia,ETH,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,0.01,0.01,0.027324773,0.157241911,0.598653972,1.11878562,2.780768871,4.427456856,6.055789948,7.662709236,12.7,10.81223297,12.36544323,13.91236973,15.45907593,14,18.57607841,20.15850067,21.76344299,23.38941193,25.0334053,23,28.36344719,30.04348755,27.2,33.41859055,42.9
Ethiopia,ETH,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,73.69351959,74.27735901,74.86102295,75.44366455,76.02423859,76.60171509,77.17507935,77.74328613,78.30530548,78.86011505,76.2,79.94909668,80.48825836,81.02762604,81.57000732,85.7,82.67510223,83.24344635,83.82530212,84.41965485,85.02472687,85.2,86.25985718,86.88635254,91.98251748,88.14826965,85.4
Faeroe Islands,FRO,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Faeroe Islands,FRO,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
